company_name,year,z_score,z_score_label
NVDA,2019,4.1471615791565855,Safe Zone
NVDA,2020,3.3820322759413646,Safe Zone
NVDA,2021,3.0737571539240185,Safe Zone
NVDA,2022,3.7017278852073914,Safe Zone
NVDA,2023,2.8829417460174787,Grey Zone
PCG,2009,1.725927989085386,Distress
PCG,2010,1.6877192189853787,Distress
PCG,2011,1.7006365882222825,Distress
PCG,2012,1.6960464264843376,Distress
PCG,2013,1.5978616964527488,Distress
PCG,2014,1.7795169008316134,Distress
PCG,2015,1.566018530758761,Distress
PCG,2016,1.55811581643052,Distress
PCG,2017,1.6074483630343124,Distress
PCG,2018,0.07309037235356086,Distress
PCG,2019,14838000.377542688,Safe Zone
PCG,2020,0.9385215695395872,Distress
PCG,2021,0.8774481449478677,Distress
PCG,2022,0.8906870146455046,Distress
PYPL,2014,,Distress
PYPL,2015,26538002.568377063,Safe Zone
PYPL,2016,28578002.655097883,Safe Zone
PYPL,2017,2.725748021342195,Grey Zone
PYPL,2018,2.740138338273241,Grey Zone
PYPL,2019,2.515359292539471,Grey Zone
PYPL,2020,2.2966139089675766,Grey Zone
PYPL,2021,2.538580320956178,Grey Zone
PYPL,2022,2.4363657816218605,Grey Zone
SHLDQ,2009,5.167331266869685,Safe Zone
SHLDQ,2010,5.2091667819767,Safe Zone
SHLDQ,2011,5.05517788769111,Safe Zone
SHLDQ,2012,5.839363606811855,Safe Zone
SHLDQ,2013,7.066709144746027,Safe Zone
SHLDQ,2014,6.039352282083821,Safe Zone
SHLDQ,2015,9.555108466182874,Safe Zone
SHLDQ,2016,20.318634924876633,Safe Zone
SHLDQ,2017,34.31577816409323,Safe Zone
SHLDQ,2018,26.30244680050072,Safe Zone
