company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
MCD,2022,Healthy,0,61.28206652812559,26.646709,56.970314,48.491541,1.4266,-5.9805,-102.8983,12.2481,20.6601,0.77534,-394.673007,143.091473,351.581535,23182.6,6177.4,186.39
MSFT,2009,Healthy,0,61.42519113797052,24.931122,79.199822,39.230282,1.8229,0.1453,36.8295,18.7051,33.6435,1.289835,-453.693994,375.834128,177.859867,58437.0,14569.0,270.64
MSFT,2010,Healthy,0,57.13969715427656,30.023686,80.162922,42.844568,2.1293,0.1286,40.628,21.7853,36.7023,1.199007,-4525.0,2126.691729,2498.308271,62484.0,18760.0,238.78
MSFT,2011,Healthy,0,62.64704330301405,33.09838,77.729008,42.787699,2.6037,0.2088,40.555,21.2964,33.5488,1.013638,674.512744,-365.217391,-209.295352,69943.0,23150.0,218.38
MSFT,2012,Healthy,0,60.580925867551436,23.029448,76.221803,41.944848,2.6029,0.18,25.5835,14.0001,22.0276,0.941445,-1231.542056,965.186916,366.35514,73723.0,16978.0,224.8
MSFT,2013,Healthy,0,60.924677289207885,28.083855,73.814693,39.202816,2.7118,0.1976,27.6943,15.3499,23.8822,0.823421,-922.360845,761.708253,260.652591,77849.0,21863.0,312.3
MSFT,2014,Healthy,0,62.57442546244716,25.421211,68.816003,37.970587,2.504,0.2522,24.5857,12.8051,19.9893,0.772346,649.520384,-376.358913,-173.161471,86833.0,22074.0,382.88
MSFT,2015,Healthy,0,60.794010348077165,13.029493,64.695448,33.784997,2.4734,0.4407,15.2255,6.9885,11.3012,0.81109,-988.603799,766.444518,322.15928,93580.0,12193.0,443.17
MSFT,2016,Healthy,0,65.47359431315594,22.532198,64.038879,36.564495,2.3529,0.7425,28.5276,10.6162,18.2481,0.726589,3393.584521,-2438.900204,-854.684318,91154.0,20539.0,483.16
MSFT,2017,Healthy,0,65.58062922107601,26.394052,64.522476,39.145292,2.9186,0.9827,29.0602,10.1829,15.5626,0.55531,3483.862434,-4125.308642,741.446208,96571.0,25489.0,659.91
MSFT,2018,Healthy,0,62.94850319612162,15.015404,65.247372,41.064697,2.9008,0.9217,20.0331,6.4018,10.6937,0.694266,1036.711552,-143.184503,-793.527049,110360.0,16571.0,779.67
MSFT,2019,Healthy,0,50.305156505486515,31.181711,65.901957,43.419976,2.5288,0.7053,38.3465,13.6937,23.22,0.721149,-10986.315789,3320.631579,7765.684211,125843.0,39240.0,1203.06
MSFT,2020,Healthy,0,64.57240197939963,30.962486,67.781002,45.977695,2.5158,0.5353,37.4298,14.6961,24.8935,0.787388,2506.195787,-504.874019,-1901.321768,143015.0,44281.0,1681.61
MSFT,2021,Healthy,0,73.93253014361962,36.45174,68.925801,48.54719,2.08,0.4095,43.1522,18.3568,31.9017,0.839885,11335.302806,-4073.412112,-7161.890694,168088.0,61271.0,2525.08
MSFT,2022,Healthy,0,0.0,36.686337,68.401674,49.348363,1.7846,0.2989,43.6755,19.937,34.0575,0.916553,-58575.657895,19941.447368,38734.210526,198270.0,72738.0,1787.73
MSFT,2023,Healthy,0,62.36757112419171,34.146238,68.920086,48.313711,1.7692,0.2291,35.0887,17.5644,29.1528,0.83606,417.71355,-108.169981,-209.543568,211915.0,72361.0,2451.23
NVDA,2009,Moderate,2,61.69353047080677,-0.877116,34.286657,3.337947,2.7845,0.0107,-1.2545,-0.8966,-1.2412,1.415072,-80.62597,67.695939,112.930031,3424.86,-30.04,10.37
NVDA,2010,Moderate,2,63.52064271525263,-2.043921,35.380661,2.937666,3.1628,0.0092,-2.551,-1.8959,-2.5278,1.236755,1651.354096,-1758.056872,206.702776,3326.45,-67.99,8.95
NVDA,2011,Moderate,2,62.14327336802524,7.14445,39.767618,12.495096,3.4232,0.0074,7.9569,5.6314,7.8988,1.105556,309.801045,-297.827084,88.026038,3543.31,253.15,8.46
NVDA,2012,Healthy,0,100.0,14.534772,51.43962,21.323535,4.1995,0.0052,14.0166,10.4646,13.9445,0.959363,36077.777778,-45371.428571,9393.650794,3997.93,581.09,7.66
NVDA,2013,Healthy,0,63.18301717242208,13.142967,52.015345,20.430778,4.8916,0.0039,11.6523,8.7728,11.6066,0.883139,1269.711909,-1146.187028,-23.524881,4280.16,562.54,9.11
NVDA,2014,Healthy,0,62.04300116971293,10.653753,54.915254,17.917676,5.949,0.3083,9.8734,6.0682,7.5468,0.708367,199.28401,-192.362768,93.078759,4130.0,440.0,10.9
NVDA,2015,Healthy,0,61.70141790961042,13.477147,55.510466,21.507903,6.3761,0.3164,14.2825,8.7627,10.8494,0.805041,-138.320611,110.992366,127.328244,4682.0,631.0,17.73
NVDA,2016,Healthy,0,63.09071616694657,12.255489,56.107784,19.421158,2.5746,0.3379,13.7391,8.3311,13.4472,0.837922,1186.868687,-404.040404,-682.828283,5010.0,614.0,57.53
NVDA,2017,Healthy,0,62.0463977671121,24.109986,58.798842,30.694645,4.774,0.4877,28.9136,16.9292,21.4249,0.806101,142.905983,-67.777778,24.871795,6910.0,1666.0,117.26
NVDA,2018,Healthy,0,62.10649495767044,31.367099,59.934116,35.093679,8.0269,0.2677,40.7844,27.1061,32.2229,1.025659,156.618962,57.155635,-113.774597,9714.0,3047.0,81.44
NVDA,2019,Healthy,0,61.83401773597752,35.344828,61.206897,34.704677,7.9436,0.2128,44.3267,31.1541,36.549,1.034071,-116.242236,127.236025,89.006211,11716.0,4141.0,144.0
NVDA,2020,Healthy,0,61.946272323162965,25.609086,61.989375,29.556695,7.6738,0.1631,22.9105,16.1479,19.6971,0.769173,47.073364,60.757366,-7.83073,10918.0,2796.0,323.24
NVDA,2021,Healthy,0,61.832354155009874,25.97901,62.344828,33.763118,4.0904,0.4122,25.6438,15.0464,18.9526,0.698977,-57.936113,195.790626,-37.854513,16675.0,4332.0,735.86
NVDA,2022,Healthy,0,62.786324392509094,36.23393,64.929033,41.669763,6.6503,0.4113,36.6451,22.0698,25.9652,0.716608,796.850394,-860.017498,163.167104,26914.0,9752.0,359.5
NVDA,2023,Healthy,0,62.28357418193593,16.193371,56.928894,21.383555,3.5156,0.4956,19.7638,10.6066,13.7341,0.816052,403.216583,527.162259,-830.378842,26974.0,4368.0,1000.35
PCG,2009,At Risk,1,62.86158158443321,9.105157,62.668856,30.2336,0.8303,1.2063,11.658,2.8734,5.6624,0.573742,986.688312,-1083.116883,196.428571,13399.0,1220.0,18.76
PCG,2010,At Risk,1,60.37516189741549,7.940178,62.509934,30.438552,0.7713,1.1613,9.6497,2.4183,4.8681,0.555229,-1358.474576,1634.322034,-175.847458,13841.0,1099.0,16.73
PCG,2011,At Risk,1,63.582818984914105,5.64322,64.34207,27.794865,0.8362,1.1241,6.9457,1.7246,3.5574,0.569991,1684.234234,-1795.495495,211.261261,14956.0,844.0,17.14
PCG,2012,At Risk,1,57.190420605861426,5.425532,66.602394,26.363032,0.8186,1.0062,6.2284,1.5825,3.2117,0.562566,-4358.928571,4041.071429,417.857143,15040.0,816.0,18.1
PCG,2013,At Risk,1,58.34703488190542,5.218618,61.636107,24.61213,0.7977,1.0127,5.6736,1.4891,3.0317,0.531026,-3263.809524,4863.809524,-1500.0,15598.0,814.0,25.29
